Date,Category,Item_ID,Weight_Percentage,Target_Weight,Daily_Market_Normalized_Price,Method
2026-03-30,Dairy,Dairy_TonedMilk_1L,5.00,1000,7.50,Scraped
2026-03-30,Dairy,Dairy_Butter_500g,5.00,500,57.00,Scraped
2026-03-30,Dairy,Dairy_Eggs_6pk,5.00,6,11.80,Imputed (Carry Forward)
2026-03-30,Dairy,Dairy_Paneer_200g,5.00,200,45.00,Scraped
2026-03-30,Produce,Produce_Onion_1kg,5.00,1000,4.80,Scraped
2026-03-30,Produce,Produce_Potato_1kg,5.00,1000,3.80,Scraped
2026-03-30,Produce,Produce_Tomato_1kg,5.00,1000,6.80,Scraped
2026-03-30,Produce,Produce_Banana_6pcs,5.00,6,8.50,Scraped
2026-03-30,Oils,Oils_Sunflower_840g,7.50,840,18.80,Scraped
2026-03-30,Oils,Oils_Mustard_1L,7.50,1000,17.00,Scraped
2026-03-30,Household,Household_Soap_5x125g,3.33,625,54.40,Scraped
2026-03-30,Household,Household_Toothpaste_150g,3.33,150,86.67,Scraped
2026-03-30,Household,Household_SurfExcel_1kg,3.34,1000,13.80,Scraped
2026-03-30,Snacks,Snacks_Tea_250g,3.33,250,45.60,Scraped
2026-03-30,Snacks,Snacks_Coffee_50g,3.33,50,446.00,Scraped
2026-03-30,Snacks,Snacks_ParleG_250g,3.34,250,10.80,Scraped
2026-03-31,Staples,Staples_Atta_5kg,6.25,5000,6.15,Scraped
2026-03-31,Staples,Staples_Basmati_1kg,6.25,1000,9.50,Scraped
2026-03-31,Staples,Staples_ToorDal_500g,6.25,500,17.50,Scraped
2026-03-31,Staples,Staples_Sugar_1kg,6.25,1000,6.00,Scraped
2026-03-31,Dairy,Dairy_TonedMilk_1L,5.00,1000,7.50,Scraped
2026-03-31,Dairy,Dairy_Butter_500g,5.00,500,57.00,Scraped
2026-03-31,Dairy,Dairy_Eggs_6pk,5.00,6,11.80,Imputed (Carry Forward)
2026-03-31,Dairy,Dairy_Paneer_200g,5.00,200,45.00,Scraped
2026-03-31,Produce,Produce_Onion_1kg,5.00,1000,4.80,Scraped
2026-03-31,Produce,Produce_Potato_1kg,5.00,1000,3.90,Scraped
2026-03-31,Produce,Produce_Tomato_1kg,5.00,1000,6.20,Scraped
2026-03-31,Produce,Produce_Banana_6pcs,5.00,6,8.50,Scraped
2026-03-31,Oils,Oils_Sunflower_840g,7.50,840,18.80,Scraped
2026-03-31,Oils,Oils_Mustard_1L,7.50,1000,17.00,Scraped
2026-03-31,Household,Household_Soap_5x125g,3.33,625,54.40,Scraped
2026-03-31,Household,Household_Toothpaste_150g,3.33,150,86.67,Scraped
2026-03-31,Household,Household_SurfExcel_1kg,3.34,1000,13.80,Scraped
2026-03-31,Snacks,Snacks_Tea_250g,3.33,250,45.60,Scraped
2026-03-31,Snacks,Snacks_Coffee_50g,3.33,50,446.00,Scraped
2026-03-31,Snacks,Snacks_ParleG_250g,3.34,250,10.80,Scraped
2026-04-01,Staples,Staples_Atta_5kg,6.25,5000,6.15,Scraped
2026-04-01,Staples,Staples_Basmati_1kg,6.25,1000,9.50,Scraped
2026-04-01,Staples,Staples_ToorDal_500g,6.25,500,17.50,Scraped
2026-04-01,Staples,Staples_Sugar_1kg,6.25,1000,6.00,Scraped
2026-04-01,Dairy,Dairy_TonedMilk_1L,5.00,1000,7.50,Scraped
2026-04-01,Dairy,Dairy_Butter_500g,5.00,500,57.00,Scraped
2026-04-01,Dairy,Dairy_Eggs_6pk,5.00,6,12.00,Scraped
2026-04-01,Dairy,Dairy_Paneer_200g,5.00,200,45.00,Scraped
2026-04-01,Produce,Produce_Onion_1kg,5.00,1000,4.60,Scraped
2026-04-01,Produce,Produce_Potato_1kg,5.00,1000,3.90,Scraped
2026-04-01,Produce,Produce_Tomato_1kg,5.00,1000,5.80,Scraped
2026-04-01,Produce,Produce_Banana_6pcs,5.00,6,8.50,Scraped
2026-04-01,Oils,Oils_Sunflower_840g,7.50,840,18.80,Scraped
2026-04-01,Oils,Oils_Mustard_1L,7.50,1000,17.00,Scraped
2026-04-01,Household,Household_Soap_5x125g,3.33,625,54.40,Scraped
2026-04-01,Household,Household_Toothpaste_150g,3.33,150,86.67,Scraped
2026-04-01,Household,Household_SurfExcel_1kg,3.34,1000,13.80,Scraped
2026-04-01,Snacks,Snacks_Tea_250g,3.33,250,45.60,Scraped
2026-04-01,Snacks,Snacks_Coffee_50g,3.33,50,446.00,Scraped
2026-04-01,Snacks,Snacks_ParleG_250g,3.34,250,10.80,Scraped
2026-04-02,Staples,Staples_Atta_5kg,6.25,5000,6.15,Scraped
2026-04-02,Staples,Staples_Basmati_1kg,6.25,1000,9.50,Scraped
2026-04-02,Staples,Staples_ToorDal_500g,6.25,500,17.50,Scraped
2026-04-02,Staples,Staples_Sugar_1kg,6.25,1000,6.00,Scraped
2026-04-02,Dairy,Dairy_TonedMilk_1L,5.00,1000,7.50,Scraped
2026-04-02,Dairy,Dairy_Butter_500g,5.00,500,57.00,Scraped
2026-04-02,Dairy,Dairy_Eggs_6pk,5.00,6,12.00,Scraped
2026-04-02,Dairy,Dairy_Paneer_200g,5.00,200,45.00,Scraped
2026-04-02,Produce,Produce_Onion_1kg,5.00,1000,4.60,Scraped
2026-04-02,Produce,Produce_Potato_1kg,5.00,1000,3.90,Scraped
2026-04-02,Produce,Produce_Tomato_1kg,5.00,1000,5.60,Scraped
2026-04-02,Produce,Produce_Banana_6pcs,5.00,6,8.50,Scraped
2026-04-02,Oils,Oils_Sunflower_840g,7.50,840,18.80,Scraped
2026-04-02,Oils,Oils_Mustard_1L,7.50,1000,17.00,Scraped
2026-04-02,Household,Household_Soap_5x125g,3.33,625,54.40,Scraped
2026-04-02,Household,Household_Toothpaste_150g,3.33,150,86.67,Scraped
2026-04-02,Household,Household_SurfExcel_1kg,3.34,1000,13.80,Scraped
2026-04-02,Snacks,Snacks_Tea_250g,3.33,250,45.60,Scraped
2026-04-02,Snacks,Snacks_Coffee_50g,3.33,50,446.00,Scraped
2026-04-02,Snacks,Snacks_ParleG_250g,3.34,250,10.80,Scraped
